"TimeInstant","position","presenceStatus:parking","type","id","latitude","longitude"
"2015-12-28T05:47:35.000Z","43.463155638,-3.797905782","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3649","43.463155638","-3.797905782"
"2015-12-27T19:36:58.000Z","43.463255703,-3.799819127","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3648","43.463255703","-3.799819127"
"2015-12-28T07:12:10.000Z","43.463248890,-3.799871430","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3647","43.463248890","-3.799871430"
"2015-12-27T09:04:08.000Z","43.463243536,-3.799929768","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3646","43.463243536","-3.799929768"
"2015-12-28T06:52:04.000Z","43.463236236,-3.800002187","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3645","43.463236236","-3.800002187"
"2015-12-28T07:43:36.000Z","43.463232342,-3.800062537","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3644","43.463232342","-3.800062537"
"2015-12-26T08:43:12.000Z","43.463227475,-3.800114170","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3643","43.463227475","-3.800114170"
"2015-12-26T00:32:23.000Z","43.463220175,-3.800171167","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3642","43.463220175","-3.800171167"
"2015-12-28T07:33:20.000Z","43.463214334,-3.800228164","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3641","43.463214334","-3.800228164"
"2015-12-28T07:33:48.000Z","43.463209467,-3.800277784","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3640","43.463209467","-3.800277784"
"2015-12-24T21:33:11.000Z","43.463202653,-3.800324723","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3639","43.463202653","-3.800324723"
"2015-12-26T13:35:08.000Z","43.463205574,-3.800369650","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3638","43.463205574","-3.800369650"
"2015-12-27T20:15:45.000Z","43.463197300,-3.800435364","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3637","43.463197300","-3.800435364"
"2015-12-28T08:13:22.000Z","43.463189026,-3.800508454","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3636","43.463189026","-3.800508454"
"2015-12-28T06:42:36.000Z","43.463145710,-3.800924867","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3635","43.463145710","-3.800924867"
"2015-11-20T09:09:59.000Z","43.463139869,-3.800988570","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3634","43.463139869","-3.800988570"
"2015-12-28T06:44:46.000Z","43.463135976,-3.801044226","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3633","43.463135976","-3.801044226"
"2015-12-22T09:58:18.000Z","43.463130622,-3.801095858","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3632","43.463130622","-3.801095858"
"2015-12-27T17:57:20.000Z","43.463122835,-3.801172972","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3631","43.463122835","-3.801172972"
"2015-12-27T18:02:22.000Z","43.463873843,-3.799422455","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3923","43.463873843","-3.799422455"
"2015-12-28T06:26:16.000Z","43.463917645,-3.799430501","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3922","43.463917645","-3.799430501"
"2015-12-27T14:20:44.000Z","43.463967775,-3.799439889","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3921","43.463967775","-3.799439889"
"2015-12-18T14:37:18.000Z","43.464012550,-3.799446595","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3920","43.464012550","-3.799446595"
"2015-12-27T22:00:25.000Z","43.464058299,-3.799454641","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3919","43.464058299","-3.799454641"
"2015-12-28T06:56:08.000Z","43.463958528,-3.797964004","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3918","43.463958528","-3.797964004"
"2015-12-28T08:57:40.000Z","43.463965341,-3.797900972","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3917","43.463965341","-3.797900972"
"2015-12-28T08:24:18.000Z","43.463971182,-3.797848669","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3916","43.463971182","-3.797848669"
"2015-12-19T08:27:12.000Z","43.463983349,-3.797746745","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3915","43.463983349","-3.797746745"
"2015-12-28T07:11:01.000Z","43.464278770,-3.800559711","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3900","43.464278770","-3.800559711"
"2015-12-28T08:22:28.000Z","43.464286070,-3.800451752","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3902","43.464286070","-3.800451752"
"2015-11-10T14:54:28.000Z","43.464283150,-3.800504726","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3901","43.464283150","-3.800504726"
"2015-12-09T17:33:47.000Z","43.462981729,-3.802627695","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3914","43.462981729","-3.802627695"
"2015-12-28T06:35:28.000Z","43.462977349,-3.802682009","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3913","43.462977349","-3.802682009"
"2015-12-26T12:20:52.000Z","43.464298724,-3.800263327","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3905","43.464298724","-3.800263327"
"2015-12-27T12:48:27.000Z","43.464372294,-3.799266612","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3910","43.464372294","-3.799266612"
"2015-12-27T21:43:14.000Z","43.464365967,-3.799330985","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3909","43.464365967","-3.799330985"
"2015-12-28T07:56:26.000Z","43.464359640,-3.799406087","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3908","43.464359640","-3.799406087"
"2015-12-28T06:05:51.000Z","43.464294831,-3.800328371","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3904","43.464294831","-3.800328371"
"2015-12-28T08:22:34.000Z","43.464290450,-3.800392744","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3903","43.464290450","-3.800392744"
"2015-12-27T15:37:59.000Z","43.464340659,-3.799633404","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3907","43.464340659","-3.799633404"
"2015-12-25T18:47:23.000Z","43.464333845,-3.799705824","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3906","43.464333845","-3.799705824"
"2015-12-28T08:03:00.000Z","43.462964208,-3.802810755","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3911","43.462964208","-3.802810755"
"2015-12-28T06:39:42.000Z","43.462970049,-3.802751076","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3912","43.462970049","-3.802751076"
"2015-12-27T23:19:31.000Z","43.463986232,-3.798553124","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3899","43.463986232","-3.798553124"
"2015-12-27T06:13:11.000Z","43.464030521,-3.798561171","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3898","43.464030521","-3.798561171"
"2015-12-26T18:04:33.000Z","43.464075783,-3.798569888","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3897","43.464075783","-3.798569888"
"2015-12-27T18:19:22.000Z","43.464118612,-3.798577264","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3896","43.464118612","-3.798577264"
"2015-12-27T17:56:46.000Z","43.464157060,-3.798581958","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3895","43.464157060","-3.798581958"
"2015-12-27T21:53:43.000Z","43.464207189,-3.798590675","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3894","43.464207189","-3.798590675"
"2015-12-27T19:09:52.000Z","43.464248071,-3.798598722","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3893","43.464248071","-3.798598722"
"2015-12-26T15:43:18.000Z","43.464289440,-3.798607439","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3892","43.464289440","-3.798607439"
"2015-12-27T14:19:40.000Z","43.464339082,-3.798615485","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3891","43.464339082","-3.798615485"
"2015-12-22T09:40:45.000Z","43.464697540,-3.797078813","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3890","43.464697540","-3.797078813"
"2015-12-28T08:24:34.000Z","43.464689267,-3.797145868","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3889","43.464689267","-3.797145868"
"2015-12-28T08:12:06.000Z","43.464680993,-3.797203535","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3888","43.464680993","-3.797203535"
"2015-12-28T07:44:48.000Z","43.464673693,-3.797254497","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3887","43.464673693","-3.797254497"
"2015-12-27T23:25:15.000Z","43.464662499,-3.797318200","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3886","43.464662499","-3.797318200"
"2015-12-25T04:49:52.000Z","43.464653252,-3.797379220","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3885","43.464653252","-3.797379220"
"2015-12-27T23:10:55.000Z","43.464645465,-3.797435546","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3884","43.464645465","-3.797435546"
"2015-12-28T07:32:06.000Z","43.464634271,-3.797499249","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3883","43.464634271","-3.797499249"
"2015-12-28T07:51:27.000Z","43.464626971,-3.797552893","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3882","43.464626971","-3.797552893"
"2015-12-28T08:10:11.000Z","43.464615777,-3.797613913","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3881","43.464615777","-3.797613913"
