X,Y,TimeInstan,position,presenceSt,type,id,latitude,longitude,sensor_id
-3.798937765,43.463861618,2015-12-27T21:42:34.000Z,"43.463861618,-3.798937765",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3833,43.463861618000003,-3.798937765000000,bonifaz_6_10
-3.798999456,43.463856265,2015-12-27T20:13:55.000Z,"43.463856265,-3.798999456",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3832,43.463856264999997,-3.798999456000000,bonifaz_6_10
-3.799055782,43.463853344,2015-12-27T17:54:08.000Z,"43.463853344,-3.799055782",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3831,43.463853344000000,-3.799055782000000,bonifaz_6_10
-3.799114791,43.463844584,2015-12-28T05:57:18.000Z,"43.463844584,-3.799114791",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3830,43.463844584000000,-3.799114791000000,bonifaz_6_10
-3.798130239,43.463133312,2015-12-27T22:55:31.000Z,"43.463133312,-3.798130239",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3829,43.463133311999997,-3.798130239000000,hernan_cortes_53_55
-3.798024291,43.463144993,2015-12-26T16:21:40.000Z,"43.463144993,-3.798024291",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3828,43.463144993000000,-3.798024291000000,hernan_cortes_53_55
-3.797963271,43.463149373,2015-12-27T22:37:01.000Z,"43.463149373,-3.797963271",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3827,43.463149373000000,-3.797963271000000,hernan_cortes_53_55
-3.799650799,43.463124161,2015-12-28T06:05:18.000Z,"43.463124161,-3.799650799",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3821,43.463124161000003,-3.799650799000000,lope_de_vega_6
-3.799659517,43.463174777,2015-12-28T06:50:00.000Z,"43.463174777,-3.799659517",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3820,43.463174776999999,-3.799659517000000,lope_de_vega_6
-3.799855337,43.464240284,2015-12-27T22:44:17.000Z,"43.464240284,-3.799855337",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3804,43.464240283999999,-3.799855337000000,lope_de_vega_14
-3.799587097,43.463131948,2015-12-28T07:31:32.000Z,"43.463131948,-3.799587097",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3798,43.463131947999997,-3.799587097000000,lope_de_vega_6
-3.799593802,43.463174291,2015-12-23T12:23:12.000Z,"43.463174291,-3.799593802",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3797,43.463174291000001,-3.799593802000000,lope_de_vega_6
-3.799603861,43.46321858,2015-12-28T07:08:36.000Z,"43.463218580,-3.799603861",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3796,43.463218580000003,-3.799603861000000,lope_de_vega_6
-3.799608555,43.463258976,2015-11-13T17:26:02.000Z,"43.463258976,-3.799608555",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3795,43.463258975999999,-3.799608555000000,lope_de_vega_6
-3.799646539,43.463476157,2015-12-24T19:13:34.000Z,"43.463476157,-3.799646539",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3794,43.463476157000002,-3.799646539000000,lope_de_vega_10
-3.799656597,43.463517039,2015-12-26T21:08:22.000Z,"43.463517039,-3.799656597",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3793,43.463517039000003,-3.799656597000000,lope_de_vega_10
-3.799664644,43.463549161,2015-12-27T20:26:45.000Z,"43.463549161,-3.799664644",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3792,43.463549161000003,-3.799664644000000,lope_de_vega_10
-3.79967269,43.46359053,2015-12-28T04:45:19.000Z,"43.463590530,-3.799672690",false,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3791,43.463590529999998,-3.799672690000000,lope_de_vega_10
-3.79779313,43.463166346,2015-12-28T05:47:41.000Z,"43.463166346,-3.797793130",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3651,43.463166346000001,-3.797793130000000,hernan_cortes_53_55
-3.798412289,43.463583602,2015-12-28T07:00:03.000Z,"43.463583602,-3.798412289",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3752,43.463583602000000,-3.798412289000000,gandara_11
-3.799679396,43.463628979,2015-10-08T11:06:22.000Z,"43.463628979,-3.799679396",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3790,43.463628978999999,-3.799679396000000,lope_de_vega_10
-3.79968409,43.463671321,2015-12-27T07:38:34.000Z,"43.463671321,-3.799684090",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3789,43.463671321000000,-3.799684090000000,lope_de_vega_10
